CONFIG
Key,Value
Our Mon,Moltres Galar
Calc Species Shell,Moltres Galar
Ability,Overcoat
Item,Heavy-Duty Boots
Nature,Jolly
Moves,"Beak Blast, Crunch, Taunt"
EVs,"{""hp"":164,""atk"":600,""def"":164,""spa"":0,""spd"":0,""spe"":72}"
IVs,"{""hp"":31,""atk"":31,""def"":31,""spa"":31,""spd"":2,""spe"":31}"
safeRepeatedSwitchMaxPct,33
safeSingleSwitchMaxPct,50

ALL MATCHUPS
Opponent,Bucket,We Switch Into Them,They Switch Into Us,Our Best Move,Our Damage Min %,Our Damage Max %,Their Best Move,Damage Into Us Min %,Damage Into Us Max %,Our Speed,Opp Speed,Summary,Debug
Landorus-Therian (Defensive Pivot),Switch-in,Safe,No,Beak Blast,33.2,39.3,U-turn,17.7,21.0,257,218,our best hit: Beak Blast (33.2-39.3%); worst hit into us: U-turn (17.7-21.0%); we are faster; Beak Blast strongly punishes weaker contact lines,"Loaded set: Landorus-Therian / Defensive Pivot || Threat moves considered: Earthquake, U-turn || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":true,""hasContactPivot"":true,""hasNonContactPivot"":false,""contactPivotMoves"":[""U-turn""],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":false,""hasStatusMoves"":false,""hasSecondaryStatusMoves"":false,""statusMoves"":[],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=Safe, theyIntoUs=No || After recovery logic: weIntoThem=Safe, theyIntoUs=No || After pivot logic: weIntoThem=Safe, theyIntoUs=No || After status logic: weIntoThem=Safe, theyIntoUs=No || After setup logic: weIntoThem=Safe, theyIntoUs=No || After knock logic: weIntoThem=Safe, theyIntoUs=No || After speed/OHKO logic: weIntoThem=Safe, theyIntoUs=No || Derived bucket from adjusted axes: Switch-in"
Rillaboom (Choice Band),Switch-in BL,Soft,No,Beak Blast,103.8,122.0,Wood Hammer,39.8,47.0,257,269,our best hit: Beak Blast (103.8-122.0%); worst hit into us: Wood Hammer (39.8-47.0%); they are faster; Beak Blast strongly punishes weaker contact lines,"Loaded set: Rillaboom / Choice Band || Threat moves considered: Grassy Glide, Wood Hammer, U-turn, Knock Off || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":true,""hasContactPivot"":true,""hasNonContactPivot"":false,""contactPivotMoves"":[""U-turn""],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":false,""hasStatusMoves"":false,""hasSecondaryStatusMoves"":false,""statusMoves"":[],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=Soft, theyIntoUs=No || After recovery logic: weIntoThem=Soft, theyIntoUs=No || After pivot logic: weIntoThem=Soft, theyIntoUs=No || After status logic: weIntoThem=Soft, theyIntoUs=No || After setup logic: weIntoThem=Soft, theyIntoUs=No || After knock logic: weIntoThem=Soft, theyIntoUs=No || After speed/OHKO logic: weIntoThem=Soft, theyIntoUs=No || Derived bucket from adjusted axes: Switch-in BL"
Deoxys-Speed (Mixed Attacker),Switch-in BL,Soft,No,Crunch,117.8,139.4,Ice Beam,40.3,48.1,257,451,our best hit: Crunch (117.8-139.4%); worst hit into us: Ice Beam (40.3-48.1%); they are faster; Beak Blast strongly punishes weaker contact lines,"Loaded set: Deoxys-Speed / Mixed Attacker || Threat moves considered: Psycho Boost, Superpower, Knock Off, Ice Beam || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":false,""hasSecondaryStatusMoves"":true,""statusMoves"":[],""secondaryStatusMoves"":[""Ice Beam""]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=Soft, theyIntoUs=No || After recovery logic: weIntoThem=Soft, theyIntoUs=No || After pivot logic: weIntoThem=Soft, theyIntoUs=No || After status logic: weIntoThem=Soft, theyIntoUs=No || After setup logic: weIntoThem=Soft, theyIntoUs=No || After knock logic: weIntoThem=Soft, theyIntoUs=No || After speed/OHKO logic: weIntoThem=Soft, theyIntoUs=No || Derived bucket from adjusted axes: Switch-in BL"
Kitsunoh (Utility),Pressures,No,No,Crunch,91.7,108.3,U-turn,15.5,18.2,257,372,our best hit: Crunch (91.7-108.3%); worst hit into us: U-turn (15.5-18.2%); they are faster; Beak Blast strongly punishes weaker contact lines; status moves threaten the interaction,"Loaded set: Kitsunoh / Utility || Threat moves considered: Shadow Strike, U-turn || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":true,""hasDrainRecovery"":false,""statusRecoveryMoves"":[""Strength Sap""],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":50,""drainRecoveryPct"":0,""bestRecoveryPct"":50} || Pivot profile: {""hasPivot"":true,""hasContactPivot"":true,""hasNonContactPivot"":false,""contactPivotMoves"":[""U-turn""],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Will-O-Wisp"",""Strength Sap""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=Soft, theyIntoUs=No || After recovery logic: weIntoThem=Soft, theyIntoUs=No || After pivot logic: weIntoThem=Soft, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Ogerpon (Offensive),Pressures,No,No,Beak Blast,123.6,146.2,Ivy Cudgel,19.6,23.2,257,350,our best hit: Beak Blast (123.6-146.2%); worst hit into us: Ivy Cudgel (19.6-23.2%); they are faster; Beak Blast strongly punishes weaker contact lines; status moves threaten the interaction,"Loaded set: Ogerpon / Offensive || Threat moves considered: Ivy Cudgel, Knock Off, U-turn || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":true,""hasContactPivot"":true,""hasNonContactPivot"":false,""contactPivotMoves"":[""U-turn""],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Encore""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=Soft, theyIntoUs=No || After recovery logic: weIntoThem=Soft, theyIntoUs=No || After pivot logic: weIntoThem=Soft, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Venomicon (PhysDef),Pressures,No,No,Beak Blast,31.4,37.0,Sludge Bomb,28.5,34.0,257,164,our best hit: Beak Blast (31.4-37.0%); worst hit into us: Sludge Bomb (28.5-34.0%); we are faster; faster Taunt blocks status recovery; Beak Blast strongly punishes weaker contact lines; faster Taunt blocks status moves; Fishing for status possible,"Loaded set: Venomicon / PhysDef || Threat moves considered: Sludge Bomb, Body Press || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":true,""hasDrainRecovery"":false,""statusRecoveryMoves"":[""Roost""],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":50,""drainRecoveryPct"":0,""bestRecoveryPct"":50} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":true,""statusMoves"":[""Roost"",""Stealth Rock""],""secondaryStatusMoves"":[""Sludge Bomb""]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=No || After recovery logic: weIntoThem=No, theyIntoUs=No || After pivot logic: weIntoThem=No, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Dragapult (Mixed Attacker),Pressures,No,No,Crunch,104.1,123.0,Dragon Darts,32.0,38.7,257,421,our best hit: Crunch (104.1-123.0%); worst hit into us: Dragon Darts (32.0-38.7%); they are faster; Beak Blast strongly punishes weaker contact lines; status moves threaten the interaction,"Loaded set: Dragapult / Mixed Attacker || Threat moves considered: Dragon Darts, Hex, U-turn || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":true,""hasContactPivot"":true,""hasNonContactPivot"":false,""contactPivotMoves"":[""U-turn""],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Will-O-Wisp""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=Soft, theyIntoUs=No || After recovery logic: weIntoThem=Soft, theyIntoUs=No || After pivot logic: weIntoThem=Soft, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Miasmaw (Swords Dance),Pressures,No,No,Beak Blast,158.2,185.9,Gunk Shot,34.3,40.3,257,326,our best hit: Beak Blast (158.2-185.9%); worst hit into us: Gunk Shot (34.3-40.3%); they are faster; status moves threaten the interaction,"Loaded set: Miasmaw / Swords Dance || Threat moves considered: Scale Shot, Earthquake, Gunk Shot || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":true,""statusMoves"":[""Swords Dance""],""secondaryStatusMoves"":[""Gunk Shot""]} || Setup profile: {""hasSetup"":true,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":true,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[""Swords Dance""]} || Switch-in axes before logic: weIntoThem=Soft, theyIntoUs=No || After recovery logic: weIntoThem=Soft, theyIntoUs=No || After pivot logic: weIntoThem=Soft, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Hatterene (PhysDef),Pressures,No,No,Beak Blast,39.9,47.2,Draining Kiss,36.5,43.1,257,107,our best hit: Beak Blast (39.9-47.2%); worst hit into us: Draining Kiss (36.5-43.1%); we are faster; Beak Blast strongly punishes weaker contact lines; faster Taunt blocks status moves; Fishing for status possible,"Loaded set: Hatterene / PhysDef || Threat moves considered: Psychic Noise, Draining Kiss, Nuzzle || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":false,""hasDrainRecovery"":true,""statusRecoveryMoves"":[],""drainMoves"":[""Draining Kiss""],""bestDrainMove"":""Draining Kiss"",""statusRecoveryPct"":0,""drainRecoveryPct"":32.32044198895028,""bestRecoveryPct"":32.32044198895028} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":true,""statusMoves"":[""Pain Split""],""secondaryStatusMoves"":[""Nuzzle""]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=No || After recovery logic: weIntoThem=No, theyIntoUs=No || After pivot logic: weIntoThem=No, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Kingambit (Swords Dance),Pressures,No,No,Beak Blast,18.6,22.1,Iron Head,37.3,44.2,257,170,our best hit: Beak Blast (18.6-22.1%); worst hit into us: Iron Head (37.3-44.2%); we are faster; Beak Blast strongly punishes weaker contact lines; faster Taunt blocks status moves,"Loaded set: Kingambit / Swords Dance || Threat moves considered: Kowtow Cleave, Iron Head, Sucker Punch || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Swords Dance""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":true,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":true,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[""Swords Dance""]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=No || After recovery logic: weIntoThem=No, theyIntoUs=No || After pivot logic: weIntoThem=No, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Samurott-Hisui (Offensive),Pressures,No,No,Beak Blast,60.7,72.0,Razor Shell,40.9,48.3,257,295,our best hit: Beak Blast (60.7-72.0%); worst hit into us: Razor Shell (40.9-48.3%); they are faster; Beak Blast strongly punishes weaker contact lines; status moves threaten the interaction,"Loaded set: Samurott-Hisui / Offensive || Threat moves considered: Ceaseless Edge, Razor Shell, Knock Off || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Encore""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=Soft, theyIntoUs=No || After recovery logic: weIntoThem=Soft, theyIntoUs=No || After pivot logic: weIntoThem=Soft, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Shox (SpDef),Pressures,No,No,Crunch,30.5,36.1,Volt Switch,41.4,48.6,257,148,our best hit: Crunch (30.5-36.1%); worst hit into us: Volt Switch (41.4-48.6%); we are faster; faster Taunt blocks status recovery; Beak Blast strongly punishes weaker contact lines; faster Taunt blocks status moves; Fishing for status possible,"Loaded set: Shox / SpDef || Threat moves considered: Volt Switch, Knock Off, Ice Beam || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":true,""hasDrainRecovery"":false,""statusRecoveryMoves"":[""Milk Drink""],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":50,""drainRecoveryPct"":0,""bestRecoveryPct"":50} || Pivot profile: {""hasPivot"":true,""hasContactPivot"":false,""hasNonContactPivot"":true,""contactPivotMoves"":[],""nonContactPivotMoves"":[""Volt Switch""]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":true,""statusMoves"":[""Milk Drink""],""secondaryStatusMoves"":[""Ice Beam""]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=No || After recovery logic: weIntoThem=No, theyIntoUs=No || After pivot logic: weIntoThem=No, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Chuggalong (Setup Sweeper),Pressures,No,No,Beak Blast,61.5,72.7,Clanging Scales,43.1,50.8,257,346,our best hit: Beak Blast (61.5-72.7%); worst hit into us: Clanging Scales (43.1-50.8%); they are faster; status moves threaten the interaction,"Loaded set: Chuggalong / Setup Sweeper || Threat moves considered: Clanging Scales, Sludge Bomb, Surf || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":true,""statusMoves"":[""Clangorous Soul""],""secondaryStatusMoves"":[""Sludge Bomb""]} || Setup profile: {""hasSetup"":true,""hasDefensiveSetup"":true,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[""Clangorous Soul""],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=No || After recovery logic: weIntoThem=No, theyIntoUs=No || After pivot logic: weIntoThem=No, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Great Tusk (Offensive Spinner),Pressures,No,No,Beak Blast,69.5,82.5,Ice Spinner,44.8,53.0,257,300,our best hit: Beak Blast (69.5-82.5%); worst hit into us: Ice Spinner (44.8-53.0%); they are faster; Beak Blast strongly punishes weaker contact lines,"Loaded set: Great Tusk / Offensive Spinner || Threat moves considered: Headlong Rush, Ice Spinner, Knock Off, Rapid Spin || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":false,""hasStatusMoves"":false,""hasSecondaryStatusMoves"":false,""statusMoves"":[],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=No || After recovery logic: weIntoThem=No, theyIntoUs=No || After pivot logic: weIntoThem=No, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Ogerpon-Wellspring (Offensive),Pressures,No,No,Beak Blast,124.3,147.5,Ivy Cudgel,46.7,55.5,257,350,our best hit: Beak Blast (124.3-147.5%); worst hit into us: Ivy Cudgel (46.7-55.5%); they are faster; Beak Blast strongly punishes weaker contact lines; status moves threaten the interaction,"Loaded set: Ogerpon-Wellspring / Offensive || Threat moves considered: Ivy Cudgel, U-turn, Knock Off || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":true,""hasContactPivot"":true,""hasNonContactPivot"":false,""contactPivotMoves"":[""U-turn""],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Spikes""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=No || After recovery logic: weIntoThem=No, theyIntoUs=No || After pivot logic: weIntoThem=No, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Ceruledge (Swords Dance),Pressures,No,No,Crunch,107.9,127.8,Bitter Blade,47.5,56.1,257,295,"our best hit: Crunch (107.9-127.8%); worst hit into us: Bitter Blade (47.5-56.1%); they are faster; contact exists, but burn punishment is muted; status moves threaten the interaction","Loaded set: Ceruledge / Swords Dance || Threat moves considered: Bitter Blade, Shadow Sneak, Poltergeist || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":false,""hasDrainRecovery"":true,""statusRecoveryMoves"":[],""drainMoves"":[""Bitter Blade""],""bestDrainMove"":""Bitter Blade"",""statusRecoveryPct"":0,""drainRecoveryPct"":28.03867403314917,""bestRecoveryPct"":28.03867403314917} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Swords Dance""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":true,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":true,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[""Swords Dance""]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=No || After recovery logic: weIntoThem=No, theyIntoUs=No || After pivot logic: weIntoThem=No, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Tornadus-Therian (Nasty Plot),Pressures,No,No,Beak Blast,65.2,77.3,Bleakwind Storm,48.3,57.2,257,375,our best hit: Beak Blast (65.2-77.3%); worst hit into us: Bleakwind Storm (48.3-57.2%); they are faster; Beak Blast strongly punishes weaker contact lines; status moves threaten the interaction,"Loaded set: Tornadus-Therian / Nasty Plot || Threat moves considered: Bleakwind Storm, Heat Wave, Grass Knot || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":true,""statusMoves"":[""Nasty Plot""],""secondaryStatusMoves"":[""Heat Wave""]} || Setup profile: {""hasSetup"":true,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":true,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[""Nasty Plot""]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=No || After recovery logic: weIntoThem=No, theyIntoUs=No || After pivot logic: weIntoThem=No, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
